upc;descrip;manuf_code;country;year_f;alcohol_per;score;cat;subcat;new_brand
8066095605;CORONA EXTRA BEER NR;80660;Mexico;1925;4.6;3.09;Lager;American;CORONA
8066095615;CORONA EXTRA BEER NR;80660;Mexico;1925;4.6;3.09;Lager;American;CORONA
8066095625;CORONA EXTRA LIGHT N;80660;Mexico;1925;4.1;2.79;Lager;American;CORONA EXTRA LIGHT
7089718331;FOSTER'S LAGER;70897;Australia;1888;5;2.77;Lager;Pale;FOSTER'S
7231113003;FOSTER'S LAGER;72311;Australia;1888;5;2.77;Lager;Pale;FOSTER'S
7089701331;FOSTER'S LAGER;70897;Australia;1888;5;2.77;Lager;Pale;FOSTER'S
7089716123;FOSTERS LAGER 6PK NR;70897;Australia;1888;5;2.77;Lager;Pale;FOSTER'S
7089701123;FOSTERS LAGER 6PK NR;70897;Australia;1888;5;2.77;Lager;Pale;FOSTER'S
7231163006;FOSTERS LAGER 6PK NR;72311;Australia;1888;5;2.77;Lager;Pale;FOSTER'S
8328000001;GUINESS STOUT;83280;United States;1759;5;3.62;Stout;Irish Dry;GUINNESS
8382012455;GUINESS STOUT;83820;United States;1759;5;3.62;Stout;Irish Dry;GUINNESS
1969380011;GUINESS STOUT GIFT B;19693;United States;1759;5;3.62;Stout;Irish Dry;GUINNESS
8382012360;GUINNESS PUB DRAUGHT;83820;United States;1759;4.2;3.78;Stout;Irish Dry;GUINNESS PUB DRAUGHT
8382012393;GUINNESS STOUT N.R.B;83820;United States;1759;5;3.62;Stout;Irish Dry;GUINNESS
8382023471;HARP IRISH LAGER BTL;83820;Ireland;1960;4.6;3.29;Lager;Euro Pale;HARP
8382023473;HARP LAGER NR BTLS;83820;Ireland;1960;4.6;3.29;Lager;Euro Pale;HARP
7289000011;HEINEKEN BEER N.R.BT;72890;Netherlands;1873;5;2.93;Lager;Euro Pale;HEINEKEN
7289000012;HEINEKEN DARK BEER N;72890;Netherlands;1873;5;2.93;Lager;Euro Pale;HEINEKEN
307;HEINEKEN KINGSIZE CA;;Netherlands;1873;5;2.93;Lager;Euro Pale;HEINEKEN
7289000007;HEINEKEN KINGSIZE N.;72890;Netherlands;1873;5;2.93;Lager;Euro Pale;HEINEKEN
7289000016;HEINEKEN NR BTLS.;72890;Netherlands;1873;5;2.93;Lager;Euro Pale;HEINEKEN
1820043218;MICHELOB LIGHT;18200;United States;2002;4.1;2.79;Lager;American Light;MICHELOB
1820000884;MICHELOB LIGHT BEER;18200;United States;2002;4.1;2.79;Lager;American Light;MICHELOB
1820043273;MICHELOB LIGHT BEER;18200;United States;2002;4.1;2.79;Lager;American Light;MICHELOB
1820000956;MICHELOB LIGHT BEER;18200;United States;2002;4.1;2.79;Lager;American Light;MICHELOB
3410064306;"MILLER LITE ""ICE""";34100;United States;1975;5.5;2.08;Lager;American Light;MILLER LITE ICE
3410064505;"MILLER LITE ""ICE"" L.";34100;United States;1975;5.5;2.08;Lager;American Light;MILLER LITE ICE
3410064528;"MILLER LITE ""ICE"" N.";34100;United States;1975;5.5;2.08;Lager;American Light;MILLER LITE ICE
3410000369;MILLER LITE 22OZ NR;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410000359;MILLER LITE 40OZ NR;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410000354;MILLER LITE BEER;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410000357;MILLER LITE BEER;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410057602;MILLER LITE BEER;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410057306;MILLER LITE BEER;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
732;MILLER LITE BEER;;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410057528;MILLER LITE BEER N.R;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410000358;MILLER LITE BEER N.R;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410057525;MILLER LITE BEER N.R;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410000382;MILLER LITE BEER N.R;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
3410064602;MILLER LITE ICE;34100;United States;1975;5.5;2.08;Lager;American Light;MILLER LITE ICE
3410057505;MILLER LITE LONGNECK;34100;United States;1975;4.2;2.49;Lager;American Light;MILLER LITE
